model_family,baseline_accuracy,baseline_recall,baseline_f1,ga_accuracy,ga_recall,ga_f1,ga_hiperparametros,ga_config
logistic_regression,0.9736842105263158,0.9523809523809523,0.963855421686747,0.9824561403508771,0.9761904761904762,0.9761904761904762,"{'C': 0.640067, 'penalty': 'l2'}","{'population_size': 16, 'n_generations': 10, 'mutation_rate': 0.1, 'crossover_rate': 0.8, 'elitism': 2, 'tournament_k': 3, 'cv': 3}"
random_forest,0.9736842105263158,0.9285714285714286,0.9629629629629629,0.9736842105263158,0.9285714285714286,0.9629629629629629,"{'n_estimators': 149, 'max_depth': 12, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}","{'population_size': 32, 'n_generations': 10, 'mutation_rate': 0.1, 'crossover_rate': 0.8, 'elitism': 2, 'tournament_k': 3, 'cv': 3}"
